start,end,text,labels,id
0,10,Reportable,['PREAMBLE'],b3143141137c4ea78ee2458da72d43bc_0
38,95,"In The Supreme Court Of India

                        ",['PREAMBLE'],487c1a6ceaa648448a7811acd897bf68_1
95,126,Criminal Appellate Jurisdiction,['PREAMBLE'],deafd55654a8477395737127f2e6a94a_2
127,185,"

                        Criminal Appeal No.445 Of 2016",['PREAMBLE'],a20b10f4d78a4a3787803bdc954d24be_3
186,277,"
                  (Arising out of SLP(Crl.)No.3821 of 2010)



J.Ramesh Kamath & Ors.",['PREAMBLE'],9e9ea393c5f6439f966cf57ddbb05dc6_4
305,312,.......,['PREAMBLE'],bf8e054b68a94a0fbc38444c666169ab_5
313,364,"Appellants


                                   ",['PREAMBLE'],15e2544ece7449ae85794f536f3f05b1_6
364,397,"Versus



Mohana Kurup & Ors.",['PREAMBLE'],bbe4c53587274a1cbb16abb9766c8e57_7
427,434,.......,['PREAMBLE'],143405eae6ea4feb980163d00e46e47a_8
435,485,"Respondents



                               ",['PREAMBLE'],f65bad31ee1c4903a385201a96a96307_9
485,502,"J U D G M E N T
",['PREAMBLE'],1b5398365b4a41658ffefbcfec21fb00_10
502,816,"JAGDISH SINGH KHEHAR, J.

1. Leave granted.

2. Respondents nos.4 to 7 herein describing themselves as members of the All Kerala Chemists and Druggists Association (hereinafter referred to as `the Association), filed a written complaint to the City Police Commissioner, Ernakulam against respondent nos.1 to 3.",['FAC'],d3c9a5989f0149e7b1f53a20b5cf381d_11
817,962,Respondent No.1  Mohana Kurup was the President of the Association during the relevant period from 2004 to 2006 and thereafter from 2006 to 2008.,['FAC'],0173bda7bd3c4413aa117d3153e8dd26_12
963,980,Respondent No.2  ,['FAC'],315e75d386d643a4a390e42043613bac_13
980,1143,"Raveendran was the Secretary of the Association during the same period, and respondent no.3  Sayed was the Treasurer of the Association during the relevant period.",['FAC'],8bb2748274674d32911d969a542d18b3_14
1144,1430,"It was alleged in the complaint filed by respondent nos.4 to 7, that respondent nos.1 to 3, in furtherance of a criminal conspiracy, and with common intention, misappropriated huge amounts of funds of `the Association', by misusing their position as office bearers of `the Association'.",['FAC'],256852bae7fc49ea94faeed3ded9c4ae_15
1431,1600,"On the basis of the complaint preferred by respondent nos.4 to 7, First Information Report bearing Crime No.675/2008 was registered at Central Police Station, Ernakulam.",['FAC'],472f5f09b02947388e46b0e595f84dc8_16
1601,1853,"

3. Appellant No.2 in the present appeal  Giri Nair (also claiming to be an active member of the Association), likewise filed a complaint before the City Police Commissioner, Ernakulam, making similar allegations against respondent nos.1 to 3.

4.",['FAC'],8b87a6a639544864b9bf0234378a3741_17
1854,2078,"The police filed a final report before the Chief Judicial Magistrate, Ernakulam, on 22.03.2009, based on an affirmation during investigation, for offences under Sections 406, 408, 409, 477A and 120B of the Indian Penal Code.",['FAC'],160a80e2a62548838e9d8f3c5692fa96_18
2079,2272,"Needless to mention, that the aforesaid chargesheet was based on the complaint addressed by respondents nos.4 to 7 on 09.04.2008, and not the complaint made by the appellants before this Court.",['FAC'],03e0d171a1b2481686ed8ae6e0e46428_19
2273,2694,"

5. Dissatisfied with the initiation of action against them, respondent nos.1 to 3 filed Criminal M.C.No.4154 of 2009 before the High Court of Kerala (hereinafter referred to as `the High Court) under Section 482 of the Criminal Procedure Code praying for quashing of the final report (filed by the police in C.C.No.90 of 2009, on the file of the Chief Judicial Magistrate, Ernakulam arising out of Crime No.675/2008).",['FAC'],251e05ce7a7f45f395ff922411e46937_20
2695,3043,"The case projected by respondent nos.1 to 3 before the High Court was, that the allegations contained in the complaint dated 09.04.2008 were in the nature of a private dispute, and was of a purely personal nature, without any involvement of public policy, and as such, the matter could be settled between the parties through an amicable settlement.",['FAC'],d5bffa5883324df7840ffe18043287a3_21
3044,3077,"And that, it had been so settled.",['FAC'],fc25fbac5d98439aafd357b0a5b5561f_22
3082,3254,"6. Along with the aforesaid Criminal M.C.No.4154 of 2009, respondent nos.1 to 9 filed a joint petition seeking compounding under Section 320 of the Criminal Procedure Code.",['FAC'],779b4c9eaa26411c82d1336b95fef51a_23
3255,3445,"At this juncture, it would be relevant to mention, that respondent nos.4 to 7 were the original complainants on whose complaint, the case came to be registered against respondent nos.1 to 3.",['FAC'],e599ee680e70472ea5baad211a899db9_24
3446,3593,"Respondent nos.8 and 9 herein, were the General Secretary and Treasurer of `the Association', at the time when Criminal M.C.No.4154/2009 was filed.",['FAC'],4df2c24887884470b1fd9e1c8017410b_25
3598,3810,"7. According to the assertions made before this Court, the High Court was informed, that the matter had been settled between the parties, and that, no useful purpose would be served in continuing the prosecution.",['FAC'],d4350dfef3c44da5a1559a84a3ec5ab5_26
3811,4013,"The High Court, in the above view of the matter, passed the impugned order dated 22.12.2009, whereby, proceedings in CC No.90/2009, pending before the Chief Judicial Magistrate, Ernakulam, were quashed.",['RLC'],8e93e694f56e468f89df115ef211ed7c_27
4014,4075,"Paragraph 2 of the impugned order is extracted herein:-

2.",['FAC'],76f2f53f6f794c898b260b9ee7069cf8_28
